;Succinate;EtOH;Formate;Acétate;1,3-propanediol;Propionate;isobutyrate;Ethanol;Butyrate;isovalérate;Butanol;H2;Caproate;;;;;;;;;;;;g TS in;30,92783505;g VS in;30;;;;30;VS/L;;2;L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;0,948;2,0842;1,39;1,067;1,26;1,51;1,818;2,0842;1,818;2,0326;2,59;8;2,2;;;;;;;;;;;;;46,39175258;;45;;;OLR30;38,4;g COD/L;;CODin - I;76,8;g COD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;46,39175258;;45;;;OLR45;57,6;;;CODin - II;115,2;g COD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;OLR60;57,6;higher Q;;CODin - III;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;headpsace;;;;;VFAs;;;;;;;;;;;;;;;VFAs-COD;;;;;;;;;;;;;;;;;;;;;;;Profile (%COD);;;;;;;;;;;;;;;;;;;;;;;
;;Days;Date;Time;CO2;H2;O2;N2;CH4;C2;C3;IC4;C4;IC5;C5;IC6;C6;Lactate;Succinate;Formate;EtOH;Total met;Total VFAs;Days;C2 ;C3;IC4;C4;IC5;C5;IC6;C6;Lactate;Succinate;Formate;EtOH;COD-VFAs;COD-VFAs/CODin;tCOD (g/L);sCOD (g/L);VFAs-COD/sCOD;sCOD/tCOD;COD removal (%);g met/g Vsin;g VFAs/g VS;g VFAs/g Tsin;g COD-met/Ld;C2 ;C3;IC4;C4;IC5;C5;IC6;C6;Lactate;Succinate;Formate;EtOH;;;;;;;;;;;;
OLR 30 g VS/Ld;;0;28/06/2022;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1,000;1;29/06/2022;10:00;;;;;;3,63;3,501;0,044;0,699;0,029;0,075;0;0;0;0;0;0;7,978;7,978;1;3,87;5,29;0,08;1,27;0,06;0,15;0,00;0,00;0,00;0,00;0,00;0,00;10,72;27,92;;;#DIV/0!;#DIV/0!;100,00;0,27;0,27;0,26;10,72;36,1;49,3;0,7;11,9;0,5;1,4;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;
;1,000;2;30/06/2022;11:00;28,26;36,06;3,55;32,12;;5,117;3,878;0,075;1,131;0,07;0,085;0,028;0;0;0,830;0;0;11,214;10,384;2;5,46;5,86;0,14;2,06;0,14;0,17;0,06;0,00;0,00;0,79;0,00;0,00;14,67;38,21;;;#DIV/0!;#DIV/0!;100,00;0,37;0,35;0,34;14,67;37,2;39,9;0,9;14,0;1,0;1,2;0,4;0,0;0,0;5,4;0,0;0,0;;;;;;;;;;;;
;1,000;3;01/07/2022;12:00;26,58;43,17;4,9;25,34;;5,371;3,144;0,086;1,275;0,08;0,088;0,046;0;0;1,473;0;0,8442;12,407;10,090;3;5,73;4,75;0,16;2,32;0,16;0,18;0,10;0,00;0,00;1,40;0,00;1,76;16,55;43,10;;;#DIV/0!;#DIV/0!;100,00;0,41;0,34;0,33;16,55;34,6;28,7;0,9;14,0;1,0;1,1;0,6;0,0;0,0;8,4;0,0;10,6;;;;;;;;;;;;
;3,000;6;04/07/2022;12:00;;;;;;5,249;2,106;0,078;1,245;0,054;0,09;0,08;0,042;0;1,752;0,546;1,201;12,443;8,944;6;5,60;3,18;0,14;2,26;0,11;0,18;0,18;0,09;0,00;1,66;0,76;2,50;16,67;43,41;;;#DIV/0!;#DIV/0!;100,00;0,41;0,30;0,29;16,67;33,6;19,1;0,9;13,6;0,7;1,1;1,1;0,6;0,0;10,0;4,6;15,0;;;;;;;;;;;;
