;;;;;;;;;;;;;;;;Composé;;;Lactose;Glucose;Xylose;Fructose;Arabinose;Succinate;Lactate;;Formate;Acétate;1,3-propanediol;Propionate;isobutyrate;Ethanol;Butyrate;isovalérate;Butanol;H2;Caproate
;;;;;;;;;;;;;;;;gDCO/g;;;0,561;1,067;1,066;1,067;1,066;0,948;1,067;;1,39;1,067;1,26;1,51;1,818;2,0842;1,818;2,0326;2,59;8;2,2
;;F5 -37.5C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Days;C2 ;C3;IC4;C4;IC5;C5;IC6;C6;Lactate;Succinate;Formate;EtOH;(%) COD-VFAs/CODin;;;;;;;;;;;;;;;;;;;;;;;
29/06/2022;1;3,87321;5,28651;0,079992;1,270782;0,0589454;0,152445;0;0;0;0;0;0;27,92157396;;;;;;;;;;;;;;;;;;;;;;;
30/06/2022;2;5,459839;5,85578;0,13635;2,056158;0,142282;0,172771;0,0616;0;0;0,7866504;0;0;38,20685;;;;;;;;;;;;;;;;;;;;;;;
01/07/2022;3;5,730857;4,74744;0,156348;2,31795;0,162608;0,1788688;0,1012;0;0;1,396404;0;1,75948164;43,1019725;;;;;;;;;;;;;;;;;;;;;;;
04/07/2022;6;5,600683;3,18006;0,141804;2,26341;0,1097604;0,182934;0,176;0,0924;0;1,660896;0,75894;2,5031242;43,41148854;;;;;;;;;;;;;;;;;;;;;;;
05/07/2022;7;6,045622;3,28576;0,12726;2,401578;0,111793;0,1869992;0,1628;0,0836;0;1,452336;0,76311;2,490619;44,56113854;;;;;;;;;;;;;;;;;;;;;;;
06/07/2022;8;5,338201;2,79048;0,09999;2,685186;0,0874018;0,1991948;0,1298;0,1012;0;1,506019886;0,683760857;2,926752737;43,09371635;;;;;;;;;;;;;;;;;;;;;;;
07/07/2022;9;5,277382;2,68176;0,123624;2,901528;0,1239886;0,20326;0,1078;0,0924;0,664741;1,793670171;1,21347;2,554276423;46,19244842;;;;;;;;;;;;;;;;;;;;;;;
08/07/2022;10;5,178151;2,51264;0,129078;3,25422;0,1382168;0,1890318;0,0814;0,0748;0,752235;1,8906912;1,384320857;2,560171731;47,2524906;;;;;;;;;;;;;;;;;;;;;;;
11/07/2022;13;6,234481;3,32653;0,176346;4,22685;0,162608;0,4959544;0,0726;0,3476;0;2,1432384;0,804571714;0;46,85098832;;;;;;;;;;;;;;;;;;;;;;;
12/07/2022;14;5,393685;3,01849;0,161802;4,657716;0,1809014;0,528476;0,0418;0,5214;2,089338429;0,548729486;1,185590571;0;47,72898147;;;;;;;;;;;;;;;;;;;;;;;
13/07/2022;15;5,05758;2,68327;0,143622;5,543082;0,1768362;0,5975844;0;0,6908;0,090542571;1,314903086;1,390397143;0;46,06410781;;;;;;;;;;;;;;;;;;;;;;;
18/07/2022;20;4,284005;1,54322;0,10908;4,56318;0,1402494;0,6931166;0;1,0186;0,910090029;1,336354971;1,017956571;0;40,66628274;;;;;;;;;;;;;;;;;;;;;;;
19/07/2022;21;3,714227;1,43752;0,092718;5,001318;0,0995974;0,5040848;0;1,0472;0,394271743;1,326116571;1,416132;0;26,09928041;;;;;;;;;;;;;;;;;;;;;;;
20/07/2022;22;3,77718;1,92525;0,147258;4,341384;0,1402494;0,5630302;0;1,2562;0,394271743;1,326116571;1,416132;0;26,54005541;;;;;;;;;;;;;;;;;;;;;;;
21/07/2022;23;4,998895;2,10947;0,165438;4,114134;0,1361842;0,6341712;0;1,2386;1,025051657;1,7337024;1,802512286;0;31,17735893;;;;;;;;;;;;;;;;;;;;;;;
22/07/2022;24;6,026416;2,13816;0,123624;3,257856;0,0752062;0,7032796;0,1056;1,1616;1,200100629;2,482568229;1,955134286;0;33,38462664;;;;;;;;;;;;;;;;;;;;;;;
25/07/2022;27;6,926964;2,66515;0,161802;3,157866;0,1077278;1,2378534;0,077;1,5378;0;2,435520343;1,654179429;0;34,6560121;;;;;;;;;;;;;;;;;;;;;;;
26/07/2022;28;6,876815;2,64099;0,247248;3,48147;0,1097604;1,1504516;0,0638;1,4564;0;2,221489029;2,096318571;0;35,32073368;;;;;;;;;;;;;;;;;;;;;;;
27/07/2022;29;8,18389;3,80973;0,249066;4,579542;0,315053;2,083415;0,0748;2,3342;0,040881343;1,723464;2,113117714;0;44,28326225;;;;;;;;;;;;;;;;;;;;;;;
28/07/2022;30;7,556494;3,10758;0,323604;5,050404;0,182934;1,29151404;0;1,6302;0,5051178;2,584464686;2,812248;0;43,4801398;;;;;;;;;;;;;;;;;;;;;;;
29/07/2022;31;6,765847;2,1895;0,158166;4,085046;0,1300864;0,762225;0;1,1902;1,1984544;2,787038743;2,330076857;0;37,49416736;;;;;;;;;;;;;;;;;;;;;;;
01/08/2022;34;8,22657;2,10343;0,05454;2,39067;0,0223586;0,3902592;0;0,6006;4,291443514;2,944758857;0,933603429;3,24885096;43,76229958;;;;;;;;;;;;;;;;;;;;;;;
02/08/2022;35;7,966222;2,40241;0,12726;2,259774;0,0284564;0,3496072;0;0,4576;3,908969743;2,419187657;1,007591143;3,653483503;42,67458619;;;;;;;;;;;;;;;;;;;;;;;
03/08/2022;36;6,648477;3,34163;0,096354;2,44521;0,050815;0,477661;0;0,4048;2,084948486;2,3582448;1,357513714;3,640621011;39,76783856;;;;;;;;;;;;;;;;;;;;;;;
04/08/2022;37;6,136317;3,91996;0,178164;2,401578;0,0752062;0,5305086;0;0,3916;0,789092229;2,482568229;1,362160286;3,41016804;37,6342406;;;;;;;;;;;;;;;;;;;;;;;
05/08/2022;38;7,44766;4,71422;0,247248;3,023334;0,111793;0,7500294;0;0,5478;0,6222744;3,432545486;1,506204;2,667895097;43,52604754;;;;;;;;;;;;;;;;;;;;;;;
08/08/2022;41;7,599174;3,62098;0,170892;2,892438;0,1077278;0,7053122;0;0,6028;0,602931214;4,259418171;1,55124;3,159349457;43,87545632;;;;;;;;;;;;;;;;;;;;;;;
10/08/2022;43;6,261156;1,99169;0,161802;1,861632;0,0447172;0,3699332;0;0,4092;0,583588029;5,086290857;1,596276;3,650803817;38,22411303;;;;;;;;;;;;;;;;;;;;;;;
11/08/2022;44;7,361233;2,08984;0,067266;1,823454;0,0345542;0,3435094;0,0374;0,3916;1,8188082;6,326599886;1,769628857;3,305660297;44,04436431;;;;;;;;;;;;;;;;;;;;;;;
12/08/2022;45;7,674931;2,27255;0,058176;1,979802;0,0386194;0,355705;0,0396;0,4026;2,219390486;6,8494896;2,200687714;4,124036314;48,98539499;;;;;;;;;;;;;;;;;;;;;;;
16/08/2022;49;5,811949;2,97319;0,076356;2,21796;0,0528476;0,447172;0,0374;0,5412;0,124839;4,421526171;2,515939714;4,472931394;41,13422028;;;;;;;;;;;;;;;;;;;;;;;
18/08/2022;51;5,811949;2,97319;0,076356;2,21796;0,0528476;0,447172;0,0374;0,5412;0,467528914;5,234503886;2,480196857;3,1700682;40,81661885;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
