;;;R2 metabolites g/l;;;;;;;;;;;;;;Hydrogen (L);;;;;R2 metabolites in mM;;;;;;;;;;;;
;;Temps (jours);Lactose;Glucose;EtOH;Succinate;Lactate;Formate;Butanol;C2;C3;IC4;C4;IC5;C5;C6;H2 real (R2);Accumulated Q;H2 theorical (R2);Yields;;Time (days);EtOH;Succinate;Lactate;Formate;C2;C3;C4;IC5;C5;C6;IC4;
T0;02/12/2022;0;0,02;0,00;0,16;1,11;0,20;0,31;0,00;1,26;0,35;0,01;0,24;0,01;0,04;0,04;0;0,00;0;0%;;0;3,5;9,4;2,2;6,8;21,0;4,7;2,7;0,1;0,4;0,3;0,1;
T1;05/12/2022;2,75;;;0,136625;0,6505;0;0;;1,216;0,622;;0,352;;0,04;0,027;0,37629;3405,482773;0,445958178;84%;;2,75;3,0;5,5;0,0;0,0;20,3;8,4;4,0;0,0;0,4;0,2;0,0;
T2;06/12/2022;3,75;;;0,154;0;0;0;;0,924;1,008;;0,286;;0,044;0,044;0,79254;6772,726457;0,886908833;89%;;3,75;3,3;0,0;0,0;0,0;15,4;13,6;3,2;0,0;0,4;0,4;0,0;
T3;07/12/2022;4,75;;;0;0;0;0;;0,558;0,89;;0,35;;0,057;0,036;1,15884;9747,730796;1,27649457;91%;;4,75;0,0;0,0;0,0;0,0;9,3;12,0;4,0;0,0;0,6;0,3;0,0;
T4;09/12/2022;6,75;;;0;0;0;0;;0,054;0,868;;0,252;0,026;0,124;0,065;1,91142;15881,16745;2,079686487;92%;;6,75;0,0;0,0;0,0;0,0;0,9;11,7;2,9;0,3;1,2;0,6;0,0;
T5;12/12/2022;9,75;;;0;0;0;0;;0;0,757125;;0,2295;0,032875;0,12225;0,046125;2,20779;18662,81135;2,443951094;90%;;9,75;0,0;0,0;0,0;0,0;0,0;10,2;2,6;0,3;1,2;0,4;0,0;
T6;13/12/2022;10,75;;;0;0;0;0;;0;0,714375;0,028;0,229125;0,036125;0,127;0,049125;2,28103;19428,26268;2,544189241;90%;;10,75;0,0;0,0;0,0;0,0;0,0;9,6;2,6;0,4;1,2;0,4;0,3;
Total cons g/l;;;0,02;0,00;0,16;1,11;0,20;0,31;0,00;1,21;0,00;0,01;0,01;0,00;0,00;0,00;0,180506234;mol H2;;;;;;;;;;;;;;;;
mM;;;;;3,47826087;9,37491179;2,191783941;6,764679668;0,019026408;20,09946581;0;0,11058438;0,11916922;0;0;0;;;;;;;;;;;;;;;;;;
mmol;;;;;2,956521739;7,968675022;1,86301635;5,749977718;0,016172447;17,08454594;0;0,093996723;0,101293837;0;0;0;;;;;;;;;;;;;;;;;;
mmole-eq;;;Electron equivalents;;35,47826087;111,5614503;22,3561962;11,49995544;0,388138729;136,6763675;0;1,879934464;2,025876745;0;0;0;321,8661803;total;;;;;;;;;;;;;;;;
FaradayC/C/mole-;96485;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MEC 2 performance;;%;;;;EtOH;Succinate;Lactate;Formate;ButOH;C2;C3;IC4;C4;IC5;C5;C6;;;;;;;;;;;;;;;;;
A*s (C);19428,26268;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mmole- ;201,3604465;;;Inicial;mM;3,47826087;9,37491179;2,191783941;6,764679668;0;20,99946581;4,731544553;0,11058438;2,723867892;0,073749645;0,395737459;0,321976349;;;;;;;;;;;;;;;;;
CE;0,63;63;;;mmol;2,956521739;7,968675022;1,86301635;5,749977718;0;17,84954594;4,02181287;0,093996723;2,315287709;0,062687199;0,33637684;0,273679897;;;;;;;;;;;;;;;;;
rCat;0,90;90;;;mmole-eq;35,47826087;111,5614503;22,3561962;11,49995544;0;142,7963675;56,30538018;1,879934464;46,30575417;1,629867163;8,745797839;8,757756703;447,3167209;;;;;;;;;;;;;;;;
rH2;0,56;56;;Final;mM;0;0;0;0;0;0,9;4,731544553;0,11058438;2,600442629;0,073749645;0,395737459;0,423235978;;;;;;;;;;;;;;;;;
Vol H2 téorique;2,5;;;;mmol;0;0;0;0;0;0,765;4,02181287;0,093996723;2,210376234;0,062687199;0,33637684;0,359750582;;;;;;;;;;;;;;;;;
Vol H2 real;2,3;;;;mmole-eq;0;0;0;0;0;6,12;56,30538018;1,879934464;44,20752469;1,629867163;8,745797839;11,51201861;130,4005229;%unconsumed electrons;;29,2;;;;;;;;;;;;;
rCat;0,9;;;;;;9,37491179;;;;;9,463089107;;;;;;;% consummed;;70,8;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;R2 metabolites in COD/L;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;Time (days);EtOH;Succinate;Lactate;Formate;C2;C3;C4;IC5;C5;C6;IC4;Somme 
;;;;;;;;;;;;;;;;;;;;;;0;0,3;1,05;0,2;0,4;1,3;0,5;0,4;0,0;0,1;0,1;0,0;4,5
