time/d;R1;R2;;;;;;time/s;?t/s;<R1>/C;<R2>/C;;time/s;<R1>/mol e-;<R2>/mol e-;R1 mmol e-;R2 mmol e-;;;;;
0,090287255;13,13131486;12,75240109;;;Electrode surface;0,0047;m2;7800,818852;7800,818852;481,4445398;467,552103;;600,0001848;0,004989838;0,004845853;4,989838212;4,845852754;;;;;
0,097231702;11,95969529;11,72318846;;;Faraday constant;96485;C/mol e-;8400,819044;600,0001927;33,72635154;33,05940207;;8400,819044;0,005339388;0,00518849;5,339388417;5,188490491;;;;;
0,104176149;11,51721918;11,09331479;;;;600,0001848;;9000,819237;600,0001927;32,47856851;31,28315776;;9000,819237;0,005676006;0,005512719;5,676006218;5,51271869;;;;;
0,111120595;11,43911132;11,00258504;;;;;;9600,81943;600,0001927;32,25830427;31,02729977;;9600,81943;0,006010341;0,005834295;6,010341133;5,834295099;;;;;
0,118065042;11,40562615;11,00539556;;;;;;10200,81962;600,0001927;32,16387606;31,03522545;;10200,81962;0,006343697;0,006155954;6,343697365;6,155953651;;;;;
0,125009489;11,33573814;10,95612612;;;;;;10800,81982;600,0001927;31,96679182;30,89628559;;10800,81982;0,006675011;0,006476172;6,675010956;6,476172189;;;;;
0,131953935;11,3140389;10,92864694;;;;;;11400,82001;600,0001927;31,90559994;30,81879427;;11400,82001;0,00700569;0,006795588;7,005690335;6,795587583;;;;;
0,138898382;11,2743645;10,83645798;;;;;;12000,8202;600,0001927;31,7937181;30,55882133;;12000,8202;0,00733521;0,007112309;7,335210137;7,112308537;;;;;
0,145842829;11,20726607;10,77089548;;;;;;12600,82039;600,0001927;31,60450047;30,37393502;;12600,82039;0,007662769;0,007427113;7,66276883;7,427113274;;;;;
0,152787275;11,13814712;10,7506828;;;;;;13200,82059;600,0001927;31,40958497;30,31693523;;13200,82059;0,007988307;0,007741327;7,988307359;7,741327248;;;;;
0,159731722;11,09706514;10,71898073;;;;;;13800,82078;600,0001927;31,29373376;30,22753536;;13800,82078;0,008312645;0,008054615;8,312645171;8,054614653;;;;;
0,166676169;11,03031688;10,64685684;;;;;;14400,82097;600,0001927;31,1055036;30,02414594;;14400,82097;0,008635032;0,008365794;8,635032108;8,365794069;;;;;
0,173620615;10,96830405;10,6228219;;;;;;15000,82116;600,0001927;30,93062736;29,95636738;;15000,82116;0,008955607;0,008676271;8,955606574;8,676271008;;;;;
