Ewe/V;BA1_C;Ewe/V;BA2_C;<--CV_beggining
-0,600312948;-0,138576992;-0,599606335;-0,151399183;
-0,599907875;-0,127196235;-0,600341558;-0,139887699;
-0,599361062;-0,121618036;-0,598092377;-0,13321848;
-0,598910391;-0,117044383;-0,59809041;-0,129542142;
-0,598436236;-0,113208035;-0,595909476;-0,126053385;
-0,597832024;-0,109651607;-0,596719801;-0,125265468;
-0,597371221;-0,108240239;-0,594107032;-0,123293029;
-0,596948147;-0,107311994;-0,594214141;-0,123469618;
-0,596252501;-0,105997044;-0,592193305;-0,120151846;
-0,595945179;-0,104083222;-0,591906071;-0,11970758;
-0,59526974;-0,103340836;-0,589456379;-0,117776507;
-0,59484756;-0,101708844;-0,590099692;-0,117602688;
-0,594357967;-0,101566374;-0,587560117;-0,114060269;
-0,594025075;-0,101145964;-0,587550044;-0,111543567;
-0,593530297;-0,100702483;-0,586474419;-0,113869799;
-0,592672586;-0,099870319;-0,585653305;-0,112067747;
-0,592393696;-0,099174251;-0,584386587;-0,110389433;
-0,591754496;-0,098423421;-0,583458424;-0,110073152;
-0,591336787;-0,098454855;-0,583202779;-0,108984739;
-0,59092617;-0,098357509;-0,581209958;-0,109190186;
-0,590381503;-0,096675796;-0,581099093;-0,108174585;
-0,590029716;-0,096644624;-0,579562962;-0,105381318;
-0,58941257;-0,096000501;-0,57885015;-0,106265315;
-0,588776469;-0,095767362;-0,576879203;-0,105235971;
-0,58843106;-0,095257997;-0,577458918;-0,104844201;
-0,587893367;-0,095013784;-0,574839175;-0,102476106;
-0,587193549;-0,093010112;-0,575189531;-0,102624119;
-0,586896956;-0,093911173;-0,572549939;-0,102911171;
-0,586448133;-0,093789708;-0,573576808;-0,101171471;
-0,585870743;-0,093618538;-0,570477664;-0,101183944;
-0,585543156;-0,092342328;-0,570940614;-0,100077611;
-0,584859133;-0,091705564;-0,569674671;-0,097015609;
-0,584472299;-0,091456192;-0,56898129;-0,095772817;
-0,583892226;-0,091106738;-0,567147613;-0,09496089;
-0,583335817;-0,090185894;-0,567849398;-0,093953038;
-0,582978547;-0,091097713;-0,564987302;-0,098275018;
-0,582299709;-0,090622043;-0,564420521;-0,094637887;
-0,581850827;-0,089635394;-0,563468218;-0,093365974;
-0,581463695;-0,08918496;-0,562320352;-0,092644362;
-0,581045806;-0,088929348;-0,560808718;-0,090467339;
-0,580489933;-0,088295211;-0,560634732;-0,091183166;
-0,579775631;-0,088582695;-0,5595963;-0,089509125;
-0,579237103;-0,087979414;-0,558290303;-0,090079791;
-0,578981519;-0,086367315;-0,557537615;-0,087753394;
-0,57832849;-0,086273616;-0,55660677;-0,086863066;
-0,577970147;-0,086410878;-0,555970252;-0,086812223;
-0,577514529;-0,086197087;-0,555036724;-0,086001707;
-0,576897681;-0,084890321;-0,554414034;-0,083550526;
-0,576359272;-0,084775974;-0,552165627;-0,084078202;
-0,575915873;-0,08390747;-0,551601708;-0,081917557;
-0,575295627;-0,084544328;-0,550609171;-0,081909063;
-0,574945569;-0,084039796;-0,549599886;-0,082103353;
-0,574204743;-0,083825274;-0,548046947;-0,08011119;
-0,573894143;-0,083112277;-0,547871172;-0,07987538;
-0,573320746;-0,083123562;-0,546298683;-0,078061475;
-0,572823584;-0,082591201;-0,546007752;-0,076902879;
