Ewe/V;BA1_A;Ewe/V;BA2_A;<--CV begin cycle 1;;Ewe/V;BA1_B;Ewe/V;BA2_B;;;<--- CV begin cycle 2
-0,599400699;-0,432572865;-0,598475993;-0,490528779;;;-0,599782288;-0,069139996;-0,599755943;-0,074104864;;;
-0,599179387;-0,4172394;-0,597973943;-0,485331602;;;-0,598924875;-0,059180669;-0,597591579;-0,066794875;;;
-0,598526299;-0,406747515;-0,59698993;-0,47348342;;;-0,598168075;-0,050564258;-0,59742409;-0,063518439;;;
-0,598131776;-0,403404058;-0,596005321;-0,457649693;;;-0,5967623;-0,046691562;-0,595808327;-0,060275753;;;
-0,596454084;-0,39703509;-0,595514894;-0,456663892;;;-0,596519768;-0,044075407;-0,59560591;-0,058398381;;;
-0,595666468;-0,395020212;-0,59458524;-0,441433738;;;-0,59471035;-0,041754324;-0,594045162;-0,056767392;;;
-0,593583643;-0,386812839;-0,593530416;-0,451127838;;;-0,594115734;-0,040561588;-0,593087912;-0,055338853;;;
-0,593036652;-0,385663233;-0,592593551;-0,459433303;;;-0,593190312;-0,039307673;-0,592371225;-0,053934855;;;
-0,592035949;-0,384462354;-0,592037082;-0,457714016;;;-0,59172219;-0,037795275;-0,591002822;-0,053093259;;;
-0,591193259;-0,380174894;-0,590412915;-0,446457516;;;-0,591236949;-0,036884735;-0,590609968;-0,05205299;;;
-0,589324474;-0,377950696;-0,590052903;-0,453348341;;;-0,589760125;-0,035864371;-0,588505805;-0,050723701;;;
-0,589467287;-0,372134578;-0,588864744;-0,425502315;;;-0,589268267;-0,035072243;-0,588331103;-0,050116335;;;
-0,588151157;-0,370436139;-0,587704301;-0,427593881;;;-0,587697446;-0,034140745;-0,586821914;-0,04889399;;;
-0,587023199;-0,368670443;-0,586594403;-0,387009618;;;-0,587411165;-0,033808537;-0,586583734;-0,048096378;;;
-0,586297035;-0,36087301;-0,58560735;-0,414579566;;;-0,586264193;-0,033035703;-0,584939241;-0,047411907;;;
-0,585445762;-0,359474625;-0,584515393;-0,420164596;;;-0,585250974;-0,032397728;-0,584345281;-0,046364338;;;
-0,584792972;-0,35881943;-0,583472192;-0,421427309;;;-0,584134638;-0,032119853;-0,583351851;-0,045703901;;;
-0,583312631;-0,357846892;-0,581678987;-0,435989945;;;-0,583104372;-0,031461661;-0,582256734;-0,045248728;;;
-0,582787454;-0,35389458;-0,580906987;-0,405977471;;;-0,582711101;-0,030830368;-0,581330359;-0,044761749;;;
-0,58153981;-0,35040423;-0,580167592;-0,393891516;;;-0,580707729;-0,030564176;-0,580105126;-0,04362092;;;
-0,580102026;-0,350798882;-0,579035342;-0,405278887;;;-0,580645084;-0,030267311;-0,579506695;-0,042690459;;;
-0,578569651;-0,348193883;-0,577880204;-0,419956544;;;-0,578963995;-0,029528142;-0,577825189;-0,042523648;;;
-0,577694297;-0,343232391;-0,5772807;-0,423528588;;;-0,578187227;-0,029231504;-0,577480853;-0,041619316;;;
-0,576552153;-0,344833886;-0,576499343;-0,414403378;;;-0,576974452;-0,02897156;-0,575816274;-0,041315514;;;
-0,575946152;-0,341194247;-0,575375795;-0,422627564;;;-0,576099813;-0,028903662;-0,575530171;-0,040309764;;;
-0,575292051;-0,341542129;-0,574810803;-0,4070945;;;-0,575395882;-0,028316143;-0,573860586;-0,0397638;;;
-0,574604392;-0,33880944;-0,57414633;-0,417604907;;;-0,573905826;-0,027890527;-0,573505819;-0,039346432;;;
-0,573273897;-0,337560198;-0,572797358;-0,413672309;;;-0,57335335;-0,02770759;-0,572196007;-0,038729124;;;
-0,572138548;-0,338336801;-0,571888685;-0,418191855;;;-0,57202208;-0,027327293;-0,570869982;-0,03804419;;;
-0,571417809;-0,336696253;-0,570785284;-0,435371576;;;-0,571420968;-0,026678859;-0,570542753;-0,037508289;;;
-0,570798814;-0,333307508;-0,56973213;-0,402251521;;;-0,570344031;-0,026838353;-0,568776429;-0,03741641;;;
-0,569276989;-0,334911038;-0,568842113;-0,409074792;;;-0,568745971;-0,026434829;-0,568291426;-0,036898184;;;
-0,567999303;-0,32862404;-0,566907465;-0,404565011;;;-0,568484783;-0,02596099;-0,566910148;-0,036734755;;;
-0,566957295;-0,331706774;-0,566063523;-0,402237348;;;-0,566799343;-0,025592807;-0,56668067;-0,035832428;;;
-0,566078663;-0,329138831;-0,564523816;-0,402526357;;;-0,566446424;-0,025296307;-0,565172911;-0,035658768;;;
-0,564858496;-0,326333966;-0,564002752;-0,413651543;;;-0,564880788;-0,024981418;-0,564226091;-0,03499917;;;
-0,563932061;-0,32585295;-0,563244402;-0,394113811;;;-0,563805878;-0,024466646;-0,563263476;-0,034365491;;;
-0,562966406;-0,32755597;-0,561754525;-0,38268956;;;-0,563362837;-0,024347626;-0,5619663;-0,034126624;;;
-0,562425852;-0,322459535;-0,561408281;-0,397420204;;;-0,561813176;-0,023999911;-0,561487615;-0,034099648;;;
-0,562054634;-0,322846673;-0,560139537;-0,400500461;;;-0,561376333;-0,023465936;-0,559690535;-0,033074219;;;
-0,560296237;-0,320965269;-0,559907377;-0,404781157;;;-0,559635878;-0,023051433;-0,559663117;-0,033332305;;;
-0,559946418;-0,320373056;-0,55843997;-0,399923298;;;-0,55926913;-0,023027258;-0,557897806;-0,033002827;;;
