;;;;;;;R1;;R2;;
;;;;;;;Bulk;Electrode;Bulk;Electrode;
OTU;Domain;Phylum;Class;Order;Family;Genus;BMIXP1_B3_20221213;EMIXP1_B3_20221213;BMIXP2_B3_20221213;EMIXP2_B3_20221213;
Otu001;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geobacter;3,3%;61,9%;6,8%;69,6%;
Otu002;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Macellibacteroides;11,4%;8,2%;14,9%;3,7%;
Otu004;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;4,8%;6,9%;5,2%;5,9%;
Otu014;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_unclassified;5,7%;2,6%;1,6%;0,6%;
Otu010;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;6,3%;2,0%;2,4%;0,2%;
Otu003;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;18,6%;1,8%;7,8%;0,6%;
Otu008;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_UCG-010;0,6%;1,7%;2,5%;2,9%;
Otu006;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Lentimicrobiaceae;Lentimicrobium;0,0%;1,4%;0,2%;3,2%;
Otu028;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto_3;0,5%;1,1%;0,8%;0,3%;
Otu012;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridiaceae_1_unclassified;8,6%;1,0%;4,2%;0,2%;
Otu011;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Tyzzerella;6,3%;0,9%;2,5%;0,3%;
Otu018;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;1,5%;0,9%;1,8%;0,5%;
Otu013;Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XI;Sedimentibacter;5,1%;0,9%;6,6%;1,3%;
Otu009;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Enterobacteriaceae_unclassified;5,1%;0,7%;2,0%;0,3%;
Otu005;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Petrimonas;1,4%;0,6%;5,2%;1,0%;
Otu024;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;1,1%;0,6%;0,3%;0,2%;
Otu026;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium_5;0,9%;0,6%;1,7%;0,6%;
Otu039;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;0,0%;0,6%;0,0%;0,3%;
Otu007;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Petrimonas;4,1%;0,5%;7,3%;0,9%;
Otu019;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonadaceae_unclassified;0,2%;0,4%;1,0%;0,5%;
Otu052;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;0,1%;0,3%;0,1%;0,3%;
Otu054;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geobacter;0,0%;0,3%;0,1%;0,0%;
Otu040;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_unclassified;0,7%;0,3%;0,3%;0,1%;
Otu067;Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria_unclassified;Gammaproteobacteria_unclassified;Gammaproteobacteria_unclassified;0,0%;0,2%;0,0%;0,1%;
Otu022;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;0,4%;0,2%;7,5%;2,8%;
Otu036;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;0,2%;0,2%;0,3%;0,1%;
Otu033;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Diaphorobacter;0,4%;0,2%;0,2%;0,1%;
Otu031;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_NK4A214_group;1,8%;0,2%;0,3%;0,0%;
Otu041;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_unclassified;0,3%;0,2%;0,2%;0,2%;
Otu021;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;1,0%;0,1%;0,6%;0,1%;
Otu097;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geobacter;0,0%;0,1%;0,0%;0,0%;
Otu015;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Azospira;0,1%;0,1%;0,2%;0,1%;
Otu043;Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Paraclostridium;0,2%;0,1%;0,2%;0,1%;
Otu044;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_unclassified;0,4%;0,1%;0,2%;0,0%;
Otu025;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Dysgonomonas;1,3%;0,1%;0,5%;0,0%;
Otu029;Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XIII;uncultured;0,5%;0,1%;0,9%;0,1%;
Otu068;Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;Christensenellaceae_R-7_group;0,0%;0,1%;0,0%;0,1%;
Otu038;Bacteria;Firmicutes;Clostridia;Clostridiales;Gracilibacteraceae;Lutispora;0,0%;0,1%;0,1%;0,1%;
Otu016;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;vadinBC27_wastewater-sludge_group;0,1%;0,1%;0,2%;0,1%;
