OTU;Domain;BS;Phylum;BS.1;Class;BS.2;Order;BS.3;Family;BS.4;Genus;BS.5;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220629;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220704;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220708;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220713;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220718;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220720;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220722;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220727;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220801;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220808;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220812;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220819
Otu001;Bacteria;100;Bacteroidetes;100;Bacteroidia;100;Bacteroidales;100;Bacteroidaceae;100;Bacteroides;100;15;68;3086;3826;718;6264;3688;1909;15546;8563;9211;7085
Otu002;Bacteria;100;Bacteroidetes;100;Bacteroidia;100;Bacteroidales;100;Rikenellaceae;100;Alistipes;100;69;5449;4687;4430;4700;11002;8501;4400;682;3486;2336;4212
Otu003;Bacteria;100;Bacteroidetes;100;Bacteroidia;100;Bacteroidales;100;Bacteroidaceae;100;Bacteroides;100;669;5908;913;641;160;1582;3823;3993;9604;7573;2629;5175
Otu004;Bacteria;100;Bacteroidetes;100;Bacteroidia;100;Bacteroidales;100;Bacteroidaceae;100;Bacteroides;100;26168;2202;1401;150;0;0;0;0;0;0;0;0
Otu005;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Lachnospiraceae_unclassified;100;0;286;3867;6637;6753;2144;779;3618;167;346;196;144
Otu006;Bacteria;100;Actinobacteria;100;Actinobacteria;100;Bifidobacteriales;100;Bifidobacteriaceae;100;Bifidobacterium;100;0;63;408;671;3598;1284;4446;4035;410;425;6004;1842
Otu007;Bacteria;100;Bacteroidetes;100;Bacteroidia;100;Bacteroidales;100;Bacteroidaceae;100;Bacteroides;100;204;1519;2695;2459;752;1338;786;1436;1477;835;1520;95
Otu008;Bacteria;100;Actinobacteria;100;Actinobacteria;100;Actinomycetales;99;Actinomycetaceae;99;Actinomycetaceae_unclassified;99;0;30;84;208;239;119;265;133;192;3904;5669;3168
Otu009;Bacteria;100;Bacteroidetes;100;Bacteroidia;100;Bacteroidales;100;Bacteroidaceae;100;Bacteroides;100;448;1099;838;973;831;1423;1437;2474;2105;655;343;672
Otu010;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Subdoligranulum;100;0;672;898;210;6530;888;569;952;38;270;60;67
Otu011;Bacteria;100;Actinobacteria;100;Actinobacteria;100;Bifidobacteriales;100;Bifidobacteriaceae;100;Bifidobacterium;100;105;777;645;580;1193;261;192;63;3889;917;1283;1200
Otu012;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Blautia;100;1251;1456;683;519;551;689;1690;1194;67;418;495;190
Otu013;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Christensenellaceae;100;Christensenellaceae_R-7_group;100;70;3153;1671;477;438;58;611;821;1;10;105;80
Otu014;Bacteria;100;Bacteroidetes;100;Bacteroidia;100;Bacteroidales;100;Bacteroidaceae;100;Bacteroides;100;1;306;2516;1907;960;404;146;375;45;1;5;91
Otu015;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Roseburia;100;62;345;517;389;1030;760;1289;1624;606;84;12;26
