Progressive day (day),Total current (mA),Total current density (A/m2)
0.000694444,-0.566037736,-0.005964098
0.001388889,-0.188679245,-0.001988033
0.002083333,-0.754716981,-0.007952131
0.002777778,0.188679245,0.001988033
0.003472222,0.188679245,0.001988033
0.004166667,0.188679245,0.001988033
0.004861111,0.188679245,0.001988033
0.005555556,0.188679245,0.001988033
0.00625,0.188679245,0.001988033
0.006944444,0.188679245,0.001988033
0.007638889,0.188679245,0.001988033
0.008333333,0.188679245,0.001988033
0.009027778,0.188679245,0.001988033
0.009722222,0.188679245,0.001988033
0.010416667,0,0
0.011111111,0,0
0.011805556,0,0
0.0125,0,0
0.013194444,0,0
0.013888889,0,0
0.014583333,-0.188679245,-0.001988033
0.015277778,-0.188679245,-0.001988033
0.015972222,-0.188679245,-0.001988033
0.016666667,-0.188679245,-0.001988033
0.017361111,-0.188679245,-0.001988033
0.018055556,-0.188679245,-0.001988033
0.01875,0,0
0.019444445,-0.188679245,-0.001988033
0.020138889,-0.188679245,-0.001988033
0.020833333,-0.188679245,-0.001988033
0.021527778,-0.188679245,-0.001988033
0.022222222,-0.188679245,-0.001988033
0.022916667,-0.188679245,-0.001988033
0.023611111,-0.188679245,-0.001988033
0.024305556,-0.188679245,-0.001988033
0.025,-0.188679245,-0.001988033
0.025694445,-0.188679245,-0.001988033
0.026388889,-0.188679245,-0.001988033
0.027083333,-0.188679245,-0.001988033
0.027777778,-0.188679245,-0.001988033
0.028472222,-0.188679245,-0.001988033
0.029166667,-0.188679245,-0.001988033
0.029861111,-0.188679245,-0.001988033
0.030555556,0.754716981,0.007952131
0.03125,-0.188679245,-0.001988033
0.031944445,-0.188679245,-0.001988033
0.032638889,-0.188679245,-0.001988033
0.033333333,-0.188679245,-0.001988033
0.034027778,-0.188679245,-0.001988033
0.034722222,0.754716981,0.007952131
0.035416667,-0.188679245,-0.001988033
0.036111111,0.754716981,0.007952131
0.036805556,0.754716981,0.007952131
0.0375,0.754716981,0.007952131
0.038194445,0.566037736,0.005964098
0.038888889,0.566037736,0.005964098
0.039583333,0.566037736,0.005964098
0.040277778,0.377358491,0.003976065
0.040972222,0.377358491,0.003976065
0.041666667,0.377358491,0.003976065
0.042361111,0.377358491,0.003976065
0.043055556,0.377358491,0.003976065
0.04375,0.377358491,0.003976065
0.044444445,0.377358491,0.003976065
0.045138889,0.188679245,0.001988033
0.045833333,0.188679245,0.001988033
0.046527778,0.188679245,0.001988033
0.047222222,0.188679245,0.001988033
0.047916667,0.377358491,0.003976065
0.048611111,0.377358491,0.003976065
0.049305556,0.188679245,0.001988033
0.05,0.188679245,0.001988033
0.050694445,0.188679245,0.001988033
0.051388889,0.188679245,0.001988033
0.052083334,0.188679245,0.001988033
0.052777778,0.188679245,0.001988033
0.053472222,0.188679245,0.001988033
0.054166667,0.188679245,0.001988033
0.054861111,0.188679245,0.001988033
0.055555556,0.188679245,0.001988033
0.05625,0.188679245,0.001988033
0.056944445,0.188679245,0.001988033
0.057638889,0.188679245,0.001988033
0.058333334,0.188679245,0.001988033
0.059027778,0.188679245,0.001988033
0.059722222,0.188679245,0.001988033
0.060416667,0.188679245,0.001988033
0.061111111,0.188679245,0.001988033
0.061805556,0.188679245,0.001988033
0.0625,0.188679245,0.001988033
0.063194445,0.188679245,0.001988033
0.063888889,0.188679245,0.001988033
0.064583334,0.188679245,0.001988033
0.065277778,0.188679245,0.001988033
0.065972222,0.188679245,0.001988033
0.066666667,0.188679245,0.001988033
0.067361111,0.188679245,0.001988033
0.068055556,0.188679245,0.001988033
0.06875,0.188679245,0.001988033
0.069444445,0.188679245,0.001988033
0.070138889,0.188679245,0.001988033
0.070833334,0.188679245,0.001988033
0.071527778,0.188679245,0.001988033
0.072222222,0.188679245,0.001988033
0.072916667,0.188679245,0.001988033
0.073611111,0.188679245,0.001988033
0.074305556,0.188679245,0.001988033
0.075,0.188679245,0.001988033
0.075694445,0.188679245,0.001988033
0.076388889,0.188679245,0.001988033
0.077083334,0.188679245,0.001988033
0.077777778,0.188679245,0.001988033
0.078472222,0.188679245,0.001988033
0.079166667,0.188679245,0.001988033
0.079861111,0.188679245,0.001988033
0.080555556,0.188679245,0.001988033
0.08125,0.188679245,0.001988033
0.081944445,0.188679245,0.001988033
0.082638889,0.188679245,0.001988033
0.083333334,0.188679245,0.001988033
0.084027778,0.188679245,0.001988033
0.084722222,0.188679245,0.001988033
0.085416667,0.188679245,0.001988033
0.086111111,0.188679245,0.001988033
0.086805556,0.188679245,0.001988033
0.0875,0.188679245,0.001988033
0.088194445,0.188679245,0.001988033
0.088888889,0.188679245,0.001988033
0.089583334,0.188679245,0.001988033
0.090277778,0.188679245,0.001988033
0.090972223,0.188679245,0.001988033
0.091666667,0.188679245,0.001988033
0.092361111,0.188679245,0.001988033
0.093055556,0.188679245,0.001988033
0.09375,0.188679245,0.001988033
0.094444445,0.188679245,0.001988033
0.095138889,0.188679245,0.001988033
0.095833334,0.188679245,0.001988033
0.096527778,0.188679245,0.001988033
0.097222223,0.188679245,0.001988033
0.097916667,0.188679245,0.001988033
0.098611111,0.188679245,0.001988033
0.099305556,0.188679245,0.001988033
0.1,0.188679245,0.001988033
0.100694445,0.188679245,0.001988033
0.101388889,0.188679245,0.001988033
