Influent Substrate,HRT,Baffles Active,Substrate Removal,Mean Substrate,Standard Deviation Substrate,Mean Current Density,Total Current,Standard Deviation Current Density,Biomass,Standard Deviation Biomass,Length
1000,12,1,1.680658615,980.4216721,37.11368733,1.356701105,0.020398641,0.196812107,7000,0,90
1000,12,10,16.50200232,861.1935373,130.1942783,1.356182206,0.061980334,1.96736832,7000,0,90
1000,12,11,19.02255428,854.70545,137.94988,1.356132049,0.061753464,2.164025114,7000,0,90
1000,12,12,19.72606621,851.1039102,143.4015403,1.356105114,0.061612088,2.360707782,7000,0,90
1000,12,2,3.314054215,961.9853987,49.6830147,1.356646393,0.033170537,0.39360834,7000,0,90
1000,12,3,5.01201161,944.9116097,63.95853531,1.356578075,0.033148314,0.590382778,7000,0,90
1000,12,4,6.620982744,929.0227661,74.69170862,1.356502664,0.042726523,0.787133279,7000,0,90
1000,12,5,8.352324642,914.5183563,85.2788088,1.356459175,0.042615294,0.983885055,7000,0,90
1000,12,6,9.916468645,901.02089,95.250264,1.356382055,0.051767796,1.180594941,7000,0,90
1000,12,7,11.71313314,889.208681,104.3548299,1.356342167,0.050232708,1.377320259,7000,0,90
1000,12,8,13.20029291,878.4346402,113.3406289,1.356282298,0.057133317,1.574010816,7000,0,90
1000,12,9,15.14504511,869.1787733,121.7444056,1.356241248,0.056246463,1.770708574,7000,0,90
250,12,1,4.531577477,236.6377519,23.76719202,0.914369391,0.917272189,0.13264452,6983.927783,107.5477107,90
250,12,10,35.56177988,171.5337526,63.53634757,0.728288797,0.861176504,1.056504282,6961.914624,229.5268603,90
250,12,11,39.92566277,168.7258409,66.11509759,0.714872521,0.855299418,1.14074591,6961.427672,231.764011,90
250,12,12,40.95425392,167.1384352,67.97700393,0.698427315,0.845147714,1.215822271,6964.591941,222.1593097,90
250,12,2,9.070259168,223.7218896,31.05834031,0.92840114,0.930315912,0.269360117,6980.249282,127.1465654,90
250,12,3,12.96271595,213.8614378,37.62907041,0.877968395,0.918376376,0.382091845,6977.998369,140.0482225,90
250,12,4,16.57194041,204.866728,42.50455372,0.848733427,0.909257997,0.492491717,6974.893541,157.6010301,90
250,12,5,20.2219261,197.1440245,46.92643346,0.82185068,0.900905473,0.596115693,6973.185071,167.2717161,90
250,12,6,23.29247193,190.4018269,50.83563598,0.795876605,0.890698694,0.692730997,6968.908816,192.1509665,90
250,12,7,26.91573365,184.4322171,54.34174959,0.779664404,0.884723517,0.791723214,6969.111656,190.668734,90
250,12,8,29.6425227,179.3621887,57.64696751,0.759980275,0.875718859,0.881982442,6965.46542,210.9786728,90
250,12,9,33.27085609,175.0318015,60.69341729,0.745538652,0.870005286,0.973375264,6965.264527,211.561904,90
500,12,1,3.260304625,480.9532287,35.00056724,1.3159244,0.486288393,0.190896766,6999.998532,0.034216765,90
